image_path,label,score,p_cross,p0_cross,p1_cross,p_target,decision_native,decision_target,decision_target_realistic,final_decision
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/000.png,1,0.5652951002120972,0.9487179487179488,0.9473684210526316,0.9736842105263158,0.073788259776294,fail,pass,escalate,escalate
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/001.png,1,1.0,0.9841269841269842,0.9838709677419356,1.0,0.2107285355401217,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/002.png,1,0.7211785316467285,0.9677419354838712,0.9666666666666668,1.0,0.1144088874150228,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/003.png,1,0.7496210336685181,0.9714285714285716,0.9705882352941176,1.0,0.1277151723011599,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/004.png,1,0.92942214012146,0.9791666666666664,0.9787234042553192,1.0,0.1683276237932097,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/005.png,1,0.590047299861908,0.9487179487179488,0.9473684210526316,0.9736842105263158,0.073788259776294,fail,pass,escalate,escalate
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/006.png,1,0.730603814125061,0.96875,0.967741935483871,1.0,0.1177733729765443,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/007.png,1,0.8569538593292236,0.9767441860465116,0.9761904761904762,1.0,0.1531631520532745,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/008.png,1,0.5650473833084106,0.9357277882797732,0.9333333333333332,0.9705882352941176,0.0589960565657404,fail,pass,escalate,escalate
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/009.png,1,0.6271111369132996,0.9722222222222224,0.9714285714285714,1.0,0.1309794988610482,fail,escalate,escalate,escalate
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/010.png,1,1.0,0.9836065573770492,0.9833333333333332,1.0,0.2053265883053125,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/011.png,1,0.8635008335113525,0.9761904761904762,0.975609756097561,1.0,0.1500636537237426,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/012.png,1,0.8148247003555298,0.972972972972973,0.9722222222222222,1.0,0.1342194845193712,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/013.png,1,0.7391495704650879,0.9714285714285716,0.9705882352941176,1.0,0.1277151723011599,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/014.png,1,0.8346232175827026,0.9866666666666666,0.9864864864864864,1.0,0.2416583842112723,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/015.png,1,1.0,0.9838709677419356,0.9836065573770492,1.0,0.2080367734282326,fail,escalate,escalate,defect
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/016.png,1,0.5108619928359985,0.8292682926829269,0.8,0.9714285714285714,0.0204878304383138,fail,pass,escalate,escalate
/content/aiqs-agent/datasets/mvtec/capsule/test/crack/017.png,1,0.9590424299240112,0.98,0.979591836734694,1.0,0.1742424242424241,fail,escalate,escalate,defect
