regime,prevalence,cost_matrix,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
native,0.8257575757575758,10/3/1,ours,0.0,0.0,1.0,,,1.0
native,0.8257575757575758,10/3/1,ours,0.040769230769230766,0.030303030303030304,0.9696969696969697,,0.0,0.9696969696969697
native,0.8257575757575758,10/3/1,ours,0.08153846153846153,0.26515151515151514,0.7348484848484849,1.0,0.0,0.7575757575757576
native,0.8257575757575758,10/3/1,ours,0.1223076923076923,0.45454545454545453,0.5454545454545454,1.0,0.0,0.5681818181818182
native,0.8257575757575758,10/3/1,ours,0.16307692307692306,0.6363636363636364,0.36363636363636365,1.0,0.0,0.38636363636363635
native,0.8257575757575758,10/3/1,ours,0.20384615384615384,0.696969696969697,0.30303030303030304,1.0,0.0,0.32575757575757575
native,0.8257575757575758,10/3/1,ours,0.2446153846153846,0.7196969696969697,0.2803030303030303,1.0,0.0,0.30303030303030304
native,0.8257575757575758,10/3/1,ours,0.28538461538461535,0.7272727272727273,0.2727272727272727,1.0,0.0,0.29545454545454547
native,0.8257575757575758,10/3/1,ours,0.3261538461538461,0.7424242424242424,0.25757575757575757,1.0,0.0,0.2803030303030303
native,0.8257575757575758,10/3/1,ours,0.3669230769230769,0.75,0.25,1.0,0.0,0.2727272727272727
native,0.8257575757575758,10/3/1,ours,0.4076923076923077,0.75,0.25,1.0,0.0,0.2727272727272727
native,0.8257575757575758,10/3/1,ours,0.4484615384615384,0.7651515151515151,0.23484848484848486,1.0,0.0,0.25757575757575757
native,0.8257575757575758,10/3/1,ours,0.4892307692307692,0.7651515151515151,0.23484848484848486,1.0,0.0,0.25757575757575757
native,0.8257575757575758,10/3/1,ours,0.5299999999999999,0.7803030303030303,0.2196969696969697,1.0,0.0,0.24242424242424243
native,0.8257575757575758,10/3/1,ours,0.5707692307692307,0.7803030303030303,0.2196969696969697,1.0,0.0,0.24242424242424243
