image_path,label,score,p_cross,p0_cross,p1_cross,p_target,decision_native,decision_target,decision_target_realistic
/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/000.JPG,1,0.5493737459182739,0.42105263157894735,0.4107142857142857,0.42857142857142855,0.008826774549466716,escalate,pass,pass
/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/001.JPG,1,0.6878484487533569,0.6393442622950819,0.5769230769230769,0.75,0.021245687307063735,escalate,pass,escalate
/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/002.JPG,1,0.6373302936553955,0.5289672544080605,0.47619047619047616,0.5882352941176471,0.01356443104747551,escalate,pass,escalate
/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/003.JPG,1,0.6290700435638428,0.48979591836734687,0.4444444444444444,0.5333333333333333,0.011618525092786828,escalate,pass,escalate
/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/004.JPG,1,0.5467589497566223,0.41440377804014167,0.38461538461538464,0.43548387096774194,0.008590798952460984,escalate,pass,pass
/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/005.JPG,1,0.6432687640190125,0.5121951219512195,0.5,0.525,0.012693935119887166,escalate,pass,escalate
/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/006.JPG,1,0.554257333278656,0.4224519940915806,0.41025641025641024,0.43137254901960786,0.008877117109660333,escalate,pass,pass
/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/007.JPG,1,0.5529176592826843,0.42105263157894735,0.4107142857142857,0.42857142857142855,0.008826774549466716,escalate,pass,pass
/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/008.JPG,1,0.5924664735794067,0.4385964912280702,0.42857142857142855,0.44642857142857145,0.00947567909033481,escalate,pass,pass
/kaggle/working/aiqs-agent/datasets/visa/visa_pytorch/capsules/test/bad/009.JPG,1,0.943889856338501,0.8571428571428572,0.8333333333333334,1.0,0.0684410646387833,fail,pass,escalate
